filename,hindi_transcript,char_count,word_count,matra_count,halant_count,avg_word_len,duration
00001,मैं जीवन की राह में आगे बढ़ चला .,33,9,9,0,3.67,3.2631875
00002,तारीख के दिन मेरे स्वामी जाएँगे और लेदेकर मामला रफ़ादफ़ा हो जाएगा .,67,13,20,1,5.15,6.999270833333333
00003,रॉकेट लांचर से संसद भवन पर मिसाइलें दागी गईं .,46,10,12,0,4.6,4.03675
00004,उसका अपना कोई महत्व नहीं था ना ही पुरानी परिचित चीज़ों का .,59,13,17,1,4.54,4.6953125
00005,ऐसा कभी सोचा था उन्होंने स्वयं वृद्ध थे .,41,9,11,3,4.56,3.6212291666666667
00006,लगता था कि वह दो दिन से सोया नहीं है .,38,11,11,0,3.45,3.2997916666666667
00007,पेट में पानी आंतों को साफ़ करता हुआ या गड़गड़ाता हुआ सुनाई देगा .,65,14,20,0,4.64,5.455791666666666
00008,पुरानी क़ब्ज़ और अँतड़ियों की दुर्गन्ध दूर करता है .,52,10,12,3,5.2,4.068104166666667
00009,वे सम्भवतः उसे कुछ इनाम देते और प्रेमशंकर से उसकी प्रशंसा भी कर देते .,70,15,16,3,4.67,6.090833333333333
00010,मनुष्यों में पित्ताश्मरी अधिकांशतः कोलेस्ट्रॉल ही होता है .,59,9,18,5,6.56,4.899166666666667
00011,जंगली इलाके की हर लड़की जग्गा से चार कोस दूर रहती थी .,54,13,13,1,4.15,5.0324375
00012,प्रयाग में स्थित कौशाम्बी वाले अशोक के स्तंभ पर समुद्रगुप्त की विजय गाथा लिखी है .,82,16,21,6,5.12,6.678833333333333
00013,रघुवर दास ने बड़ी ईमानदारी से पार्टी प्रत्याशी के पक्ष में चुनाव प्रचार किया .,78,15,20,5,5.2,6.406729166666667
00014,उन्हें तो अपनी सच्चाई बदलने का ऑस्कर दिया जाना चाहिए .,54,11,13,3,4.91,4.269125
00015,परिणामतः जहां मौन रहना चाहिए वहां वे सब कुछ कह देंगे .,54,12,16,0,4.5,4.9055625
00016,उसकी अनुपस्थिति पर ग़ौर किया गया पर सबके सामने क्षमा नहीं किया गया उसे .,72,15,18,2,4.8,5.883541666666667
00017,माता ने जब पुत्र से क्रोधित हो कर पूछा तो उसने अनभिज्ञता जाहिर की .,67,15,17,3,4.47,5.44325
00018,दो अपवादों को छोड़कर यह विस्तार कांग्रेस तक सीमित रहा .,55,11,14,2,5.0,4.472333333333333
00019,वह थाने जाकर पुलिस में रपट कर आया था .,38,10,9,0,3.8,3.5127291666666665
00020,और तब आया उस गुहा का दूसरा मुहाना और एक रमणीय घाटी का दृश्य .,61,15,14,1,4.07,5.477104166666667
00021,इसके साथ ही उसने एक अध्यापक भी ख़रीदकर भेजने को लिखा था .,57,13,13,1,4.38,4.969083333333334
00022,इसका कुल अनुमानित बजट हजार कराे़ड रुपये है .,44,9,11,0,4.89,3.840125
00023,तुलसी और सूर ने भी अपनी कविताओं में शपथ लेने की बात कही है .,60,15,17,0,4.0,5.341645833333334
00024,आज मातापिता और बच्चों के बीच संवाद कम हो गया है .,49,12,13,1,4.08,4.257833333333333
00025,क्यों कष्ट किया इस प्रातः वेला में ही कोई विशेष बात ही होगी .,61,14,18,3,4.36,4.815791666666667
00026,फिर नूपुरों की झनकार ने सम्राट् को चौंका दिया .,47,10,15,2,4.7,3.9282916666666665
00027,सुन्दरा का मन सुबह से ही उत्साह से भरा हुआ था .,47,12,11,2,3.92,4.2026875
00028,मेरी तो इसमें ज़रा भी ग़लती नहीं है .,37,9,11,0,4.11,2.9744166666666665
00029,अपने पर थोड़ी देर अच्छी तरह एकांत में ग़ौर कर लेना .,52,12,12,1,4.33,4.1765625
00030,या छोटेमोटे पब्लिक स्कूलों में पाँचछः सौ रुपये पर अध्यापिकी कर रहे हैं .,72,14,23,3,5.14,5.5681666666666665
00031,इसमें अनेक वैज्ञानिकों ने अपने विचार व्यक्त किये .,50,9,14,3,5.56,3.8498958333333335
00032,यदि ये निकल सके तो ऑपरेशन करवा सकते हैं .,41,10,10,0,4.1,3.751895833333333
00033,यह गाँव बनास नदी के तट पर बसा हुआ है .,38,11,8,0,3.45,3.6473541666666667
00034,उन्हें कभी हिलैरी क्लिंटन ने और कभी भारत सरकार ने अलगअलग कारणों से सम्मानित किया .,82,16,21,3,5.12,6.5743125
00035,कार्य के समय हमारी भुजाएं कमजोर नहीं होतीं वे भगवान की हजारों भुजाओं के समान होती हैं .,87,18,28,1,4.83,7.096979166666666
00036,ख़्वाजा आसिम इस तरह उनके हौसले बढ़ते ही जायेंगे .,48,10,12,1,4.8,4.209229166666667
00037,चूँकि बरनी का उद्देश्य किसी भी तरह से सुल्तान फीरोजशाह तुग़लक़ को प्रसन्न करना था .,83,16,19,5,5.19,7.351770833333333
00038,सौरव की इस अर्धशतकीय पारी को कई विशेषज्ञों ने सराहा .,53,11,13,2,4.82,5.0292916666666665
00039,अंग्रेजी भाषा में वर्गीकृत सूची के लिए यह एकमात्र सूची संहिता है .,66,13,20,3,5.08,6.045375
00040,रात रात भर बैठ कर उसे पढ़ने के लिए बाध्य करते .,47,12,9,1,3.92,4.276666666666666
